| 序号 | id | 姓名 | wu | tong | zheng |
| 39 | 39 | 庞德 | 80 | 27 | 7 |
| 40 | 40 | 韩遂 | 33 | 73 | 67 |
| 41 | 41 | 马岱 | 60 | 53 | 27 |
| 42 | 42 | 马腾 | 87 | 60 | 27 |
| 43 | 43 | 马超 | 100 | 60 | 33 |
| 44 | 44 | 刑道荣 | 53 | 47 | 13 |
| 45 | 45 | 刘度 | 27 | 33 | 40 |
| 46 | 46 | 刘贤 | 33 | 27 | 47 |
| 47 | 47 | 韩玄 | 27 | 27 | 33 |
| 48 | 48 | 黄忠 | 87 | 47 | 20 |
| 49 | 49 | 巩志 | 33 | 33 | 67 |
| 50 | 50 | 金旋 | 33 | 40 | 27 |
| 51 | 51 | 刘繇 | 33 | 33 | 60 |
| 52 | 52 | 太史慈 | 80 | 33 | 13 |
| 53 | 53 | 张英 | 47 | 40 | 27 |
| 54 | 54 | 笮融 | 33 | 27 | 73 |
| 55 | 55 | 审配 | 27 | 80 | 73 |
| 56 | 56 | 张郃 | 73 | 73 | 40 |
| 57 | 57 | 文丑 | 73 | 7 | 7 |
| 58 | 58 | 田丰 | 13 | 73 | 87 |
| 59 | 59 | 袁尚 | 40 | 33 | 47 |
| 60 | 60 | 袁绍 | 33 | 40 | 60 |
| 61 | 61 | 袁谭 | 20 | 40 | 67 |
| 62 | 62 | 颜良 | 73 | 13 | 7 |
| 63 | 63 | 张勋 | 47 | 40 | 20 |
| 64 | 64 | 纪灵 | 40 | 33 | 7 |
| 65 | 65 | 袁术 | 47 | 27 | 27 |
| 66 | 66 | 袁胤 | 40 | 27 | 53 |
| 67 | 67 | 吕布 | 100 | 73 | 7 |
| 68 | 68 | 张辽 | 67 | 80 | 13 |
| 69 | 69 | 陈宫 | 13 | 80 | 67 |
| 70 | 70 | 陈登 | 27 | 67 | 73 |
| 71 | 71 | 公孙瓒 | 73 | 53 | 40 |
| 72 | 72 | 公孙越 | 40 | 33 | 47 |
| 73 | 73 | 赵云 | 87 | 87 | 40 |
| 74 | 74 | 刘勋 | 33 | 27 | 53 |
| 75 | 75 | 伍习 | 47 | 40 | 27 |
| 76 | 76 | 郭汜 | 40 | 40 | 27 |
| 77 | 77 | 李傕 | 47 | 33 | 33 |
| 78 | 78 | 李别 | 40 | 33 | 20 |
| 79 | 79 | 李暹 | 40 | 27 | 33 |
| 80 | 80 | 周昕 | 47 | 33 | 13 |
| 81 | 81 | 王朗 | 33 | 53 | 53 |
| 82 | 82 | 孔融 | 33 | 40 | 67 |
| 83 | 83 | 武安国 | 67 | 7 | 13 |
| 84 | 84 | 严白虎 | 67 | 47 | 27 |
| 85 | 85 | 严舆 | 53 | 40 | 33 |
| 86 | 86 | 张绣 | 53 | 40 | 13 |
| 87 | 87 | 贾诩 | 27 | 40 | 80 |
| 88 | 88 | 典韦 | 87 | 33 | 7 |
| 89 | 89 | 夏侯惇 | 73 | 40 | 67 |
| 90 | 90 | 夏侯渊 | 80 | 40 | 20 |
| 91 | 91 | 徐晃 | 67 | 53 | 13 |
| 92 | 92 | 曹仁 | 67 | 67 | 60 |
| 93 | 93 | 曹操 | 60 | 87 | 87 |
| 94 | 94 | 曹洪 | 40 | 47 | 13 |
| 95 | 95 | 曹纯 | 33 | 40 | 13 |
| 96 | 96 | 程昱 | 20 | 80 | 87 |
| 97 | 97 | 荀彧 | 27 | 87 | 93 |
| 98 | 98 | 荀攸 | 7 | 20 | 93 |
| 99 | 99 | 许褚 | 93 | 53 | 7 |
| 100 | 100 | 丁奉 | 40 | 33 | 7 |
| 101 | 101 | 凌统 | 53 | 40 | 7 |
| 102 | 102 | 吕蒙 | 53 | 67 | 60 |
| 103 | 103 | 孙桓 | 60 | 40 | 40 |
| 104 | 104 | 孙瑜 | 47 | 60 | 60 |
| 105 | 105 | 徐盛 | 33 | 33 | 7 |
| 106 | 106 | 诸葛瑾 | 20 | 80 | 87 |
| 107 | 107 | 陆逊 | 40 | 87 | 47 |
| 108 | 108 | 鲁肃 | 33 | 67 | 73 |
| 109 | 109 | 关平 | 60 | 33 | 20 |
| 110 | 110 | 周仓 | 53 | 53 | 13 |
| 111 | 111 | 诸葛亮 | 33 | 100 | 100 |
| 112 | 112 | 孟获 | 87 | 27 | 7 |
| 113 | 113 | 祝融 | 93 | 7 | 7 |
| 114 | 114 | 夏侯尚 | 47 | 40 | 33 |
| 115 | 115 | 徐庶 | 33 | 93 | 80 |
| 116 | 116 | 满宠 | 7 | 7 | 93 |
| 117 | 117 | 牛金 | 60 | 7 | 7 |
| 118 | 118 | 刘封 | 53 | 47 | 27 |
| 119 | 119 | 庞统 | 40 | 93 | 87 |
| 120 | 120 | 廖化 | 33 | 27 | 7 |
| 121 | 121 | 马良 | 20 | 67 | 67 |
| 122 | 122 | 马谡 | 40 | 60 | 53 |
| 123 | 123 | 司马懿 | 40 | 100 | 80 |
| 124 | 124 | 曹彰 | 73 | 67 | 20 |
| 125 | 125 | 曹植 | 20 | 40 | 80 |
| 126 | 126 | 曹真 | 53 | 40 | 7 |
| 127 | 127 | 朱桓 | 53 | 40 | 13 |
| 128 | 128 | 关兴 | 47 | 33 | 7 |
| 129 | 129 | 关索 | 47 | 33 | 7 |
| 130 | 130 | 刘禅 | 7 | 7 | 13 |
| 131 | 131 | 张苞 | 67 | 27 | 7 |
| 132 | 132 | 王平 | 53 | 60 | 40 |
| 133 | 133 | 夏侯霸 | 60 | 40 | 13 |
| 134 | 134 | 曹丕 | 40 | 47 | 67 |
| 135 | 135 | 曹休 | 40 | 40 | 13 |
| 136 | 136 | 曹叡 | 27 | 27 | 67 |
| 137 | 137 | 郝昭 | 53 | 67 | 60 |
| 138 | 138 | 郭淮 | 33 | 53 | 27 |
| 139 | 139 | 司马师 | 33 | 87 | 87 |
| 140 | 140 | 司马昭 | 33 | 80 | 73 |
| 141 | 141 | 姜维 | 73 | 80 | 13 |
| 142 | 142 | 张笣 | 67 | 27 | 7 |
| 143 | 143 | 曹漳 | 73 | 67 | 20 |
| 144 | 144 | 王双 | 60 | 7 | 7 |
| 145 | 145 | 诸葛恪 | 7 | 7 | 100 |
| 146 | 146 | 赵广 | 40 | 53 | 27 |
| 147 | 147 | 赵统 | 47 | 53 | 27 |
| 148 | 148 | 邓艾 | 67 | 73 | 67 |
